source,target,edge_type
907300000,907330000,ownership
907300000,907333000,ownership
907300000,907337000,ownership
907300000,907338000,ownership
907300000,907340000,ownership
907300000,907341000,ownership
907300000,907343000,ownership
907300000,907344000,ownership
908300000,908301000,ownership
908300000,908302000,ownership
908300000,908303000,ownership
908300000,908304000,ownership
908300000,908305000,ownership
908300000,908306000,ownership
908300000,908307000,ownership
908300000,908308000,ownership
908300000,908309000,ownership
908300000,908310000,ownership
908300000,908311000,ownership
908300000,908312000,ownership
908300000,908313000,ownership
908300000,908314000,ownership
908300000,908315000,ownership
908300000,908316000,ownership
907300000,931700000,ownership
1900700000,990101000,ownership
1001300000,1001301000,ownership
1001300000,1001302000,ownership
1001300000,1001303000,ownership
1001300000,1001304000,ownership
1001300000,1001305000,ownership
1001300000,1001306000,ownership
1001300000,1001307000,ownership
1001300000,1001308000,ownership
1001300000,1001309000,ownership
1001300000,1001310000,ownership
1001300000,1001311000,ownership
1001300000,1001312000,ownership
1001300000,1001313000,ownership
1001300000,1001314000,ownership
1001300000,1001315000,ownership
1001300000,1001316000,ownership
1001300000,1001317000,ownership
1001300000,1001318000,ownership
1001300000,1001319000,ownership
1001300000,1001320000,ownership
1001300000,1001321000,ownership
1001300000,1001322000,ownership
1001800000,1001801000,ownership
1001800000,1001802000,ownership
1001800000,1001803000,ownership
1001800000,1001804000,ownership
1001800000,1001805000,ownership
1003500000,1003501000,ownership
1003500000,1003502000,ownership
1003500000,1003503000,ownership
1003500000,1003505000,ownership
1003500000,1003506000,ownership
1003500000,1003507000,ownership
1003500000,1003508000,ownership
1003500000,1003509000,ownership
1003500000,1003510000,ownership
1003500000,1003511000,ownership
1003500000,1003512000,ownership
1003500000,1003513000,ownership
1003500000,1003514000,ownership
1003500000,1003515000,ownership
1003500000,1003516000,ownership
1003500000,1003517000,ownership
1003500000,1003518000,ownership
1003500000,1003519000,ownership
1003500000,1003520000,ownership
1003500000,1003521000,ownership
1003500000,1003522000,ownership
1003500000,1003523000,ownership
1004200000,1004201000,ownership
1004200000,1004202000,ownership
1004200000,1004203000,ownership
1004200000,1004204000,ownership
1004200000,1004205000,ownership
1004200000,1004206000,ownership
1004200000,1004207000,ownership
1004200000,1004208000,ownership
1004200000,1004209000,ownership
1004200000,1004210000,ownership
1004200000,1004211000,ownership
1004200000,1004212000,ownership
1004200000,1004213000,ownership
1004200000,1004214000,ownership
1004200000,1004215000,ownership
1004200000,1004216000,ownership
1004200000,1004217000,ownership
